X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ADDRESS,SCHOOL_NAME,WEBSITE,SCHOOL_TYPE,TYPE,STATUS
-79.759739840879,43.6584115289243,,,,,,,-1,0,-1,,,142,81 TORRANCE WOODS,ST. BRIGID E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7013145639963,43.7734474773858,,,,,,,-1,0,-1,,,143,80 REDWILLOW RD,RED WILLOW P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7788050502539,43.6768757607498,,,,,,,-1,0,-1,,,144,8 PARKWAY AVE,ST. JOSEPH BRAMPTON E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7192504146379,43.6749813080337,,,,,,,-1,0,-1,,,145,7935 KENNEDY RD S,TURNER FENTON S.S.,http://www.peelschools.org,PUBLIC,SECONDARY,CURRENT
-79.7389238499808,43.6563363652424,,,,,,,-1,0,-1,,,146,7899 MCLAUGHLIN RD,SHERIDAN COLLEGE DAVIS CAMPUS,http://www.sheridaninstitute.ca/,COLLEGE/UNIVERSITY,POST-SECONDARY,CURRENT
-79.7263331685294,43.6589806560325,,,,,,,-1,0,-1,,,147,7700 HURONTARIO ST,ADULT EDUCATION CENTRE NORTH (BRAMPTON),http://www.peelschools.org,PUBLIC,ALTERNATIVE,CURRENT
-79.7865463117944,43.6945974134132,,,,,,,-1,0,-1,,,148,77 ROYAL ORCHARD DR,ROYAL ORCHARD M.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7581413925511,43.6244323470872,,,,,,,-1,0,-1,,,149,7585 FINANCIAL DR,ECOLE SECONDAIRE JEUNES SANS FRONTIERES,http://csviamonde.ca,PUBLIC FRENCH,ELEMENTARY - SECONDARY,CURRENT
-79.7115410520089,43.6673711350306,,,,,,,-1,0,-1,,,150,7580 KENNEDY RD S,WALI UL ASR E.S.,http://www.edu.gov.on.ca/eng/general/elemsec/privsch/,PRIVATE,ELEMENTARY,CURRENT
-79.7516465595828,43.6842211738774,,,,,,,-1,0,-1,,,151,75 MARY ST,CARDINAL LEGER S.S.,http://www.dpcdsb.org/CEC,CATHOLIC,SECONDARY,CURRENT
-79.8185803168637,43.6844676866875,,,,,,,-1,0,-1,,,152,71 WORTHINGTON AVE,WORTHINGTON P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
